ID,Age,Experience,Income,Pincode,Family,CCAvg,Education,Mortgage,Loanapproved,SecuritiesAccount,CDAccount,Online,CreditCard
67,46yrs 3 months,27,35.76,419127,3,1.12,12th or less,37.47,0,1,1,0,0
68,41yrs 8 months,23,18.84,990599,3,0.18,12th or less,23.75,1,0,1,0,1
69,33,12,27.33,308494,2,0.19,Bachelors,13.76,1,0,1,0,1
70,39yrs,18,Rs 12 lacs,995060,0,0.05,12th or less,0.0,1,n/a,0,0,0
71,38,17,42.45,345343,3,1.38,Post Graduate,47.43,1,1,0,0,0
72,22yrs,4,Rs 45 lacs,243023,1,0.05,Bachelors,0.0,0,1,1,1,1
73,65,47,29.73,294179,1,0.48,12th or less,16.37,1,1,1,1,1
74,62yrs 11 months,44,25.49,237819,1,0.14,12th or less,27.46,1,1,1,0,1
75,48,n/a,45.45,122085,3,0.73,Post Graduate,43.11,1,0,0,0,1
76,43yrs,24,57.07,966109,4,0.66,Bachelors,50.69,1,1,0,0,1
77,24yrs,2,17.6,377388,3,0.33,Bachelors,22.3,0,1,0,1,0
78,24,6,16.68,954826,3,0.07,Post Graduate,21.15,1,1,0,1,0
79,32,12,15.52,897397,3,0.12,12th or less,7.23,1,1,0,0,0
80,42,,23.51,748667,3,0.14,12th or less,15.24,1,0,1,0,1
81,46,24,20.15,880890,0,0.64,Post Graduate,6.39,1,1,0,1,1
82,60yrs,39,35.61,464960,2,1.11,12th or less,6.71,1,0,0,1,0
83,62,43,n/a,208858,3,0.05,Bachelors,0.0,0,0,1,0,1
84,55yrs,36,67.84,192615,1,0.63,Post Graduate,30.38,1,0,0,1,0
85,24,5,29.57,193815,1,0.51,Bachelors,25.84,0,0,1,0,1
86,32yrs,10,44.63,133148,5,0.91,12th or less,44.19,1,0,1,1,1
87,24yrs,3,9.59,284749,2,0.1,Post Graduate,2.7,1,1,0,0,0
88,51yrs 5 months,30,32.13,601154,1,0.27,12th or less,20.14,1,1,0,1,0
89,27yrs 1 months,5,14.03,804818,3,0.3,Post Graduate,8.39,0,0,1,1,1
90,30yrs 6 months,11,39.54,290907,5,1.07,Post Graduate,46.88,0,n/a,0,0,1
91,44yrs,,24.35,465068,1,0.49,12th or less,5.63,1,0,0,1,1
92,35,13,32.39,237259,0,0.99,12th or less,32.38,0,0,0,1,1
93,59yrs,38,26.98,982229,2,0.63,Bachelors,21.14,1,0,1,1,0
94,40,21,Rs 96 lacs,213767,4,0.05,12th or less,0.0,1,0,1,0,0
95,27yrs 2 months,5,18.79,487497,5,0.56,Bachelors,17.01,0,0,0,0,1
96,33yrs,11,Rs 13 lacs,366539,2,0.05,Bachelors,0.0,1,0,0,1,0
97,48yrs,26,unemployed,963200,5,0.05,12th or less,0.0,0,1,0,0,1
98,59,39,12.08,265207,1,0.16,Bachelors,13.4,0,0,0,1,1
99,38,17,23.18,290859,4,0.23,Bachelors,13.11,1,1,1,0,1
100,31,10,26.16,873410,3,0.28,12th or less,32.69,1,0,1,0,1
101,56yrs 1 months,38,21.13,286708,2,0.52,Bachelors,24.29,1,1,0,1,0
102,56yrs 7 months,35,28.43,486961,4,0.55,12th or less,4.57,1,0,0,0,1
103,22yrs,0,13.54,209178,0,0.08,Bachelors,12.74,0,0,0,1,0
104,37,15,Rs 17 lacs,763770,0,0.05,12th or less,0.0,1,1,1,1,1
105,26yrs,4,Rs 19 lacs,613824,0,0.05,Bachelors,0.0,0,1,0,1,1
106,61yrs 7 months,n/a,22.14,709599,1,0.46,12th or less,11.48,1,0,0,1,0
107,43,25,35.09,282048,3,0.96,Bachelors,26.68,1,0,1,0,0
108,36yrs,15,33.75,659101,5,0.28,Post Graduate,27.37,1,0,1,1,0
109,61,40,17.31,565450,0,0.23,Bachelors,15.44,1,1,0,1,0
110,46,26,59.07,944521,1,0.71,Post Graduate,65.15,1,0,1,0,1
111,21,0,15.0,770823,0,0.07,Post Graduate,9.95,1,0,0,1,1
112,56yrs,36,44.6,509220,4,0.41,Post Graduate,14.01,1,1,1,0,0
113,50yrs,31,29.6,703336,3,0.41,12th or less,16.830000000000002,1,1,0,0,1
114,22yrs,,64.01,318301,5,1.11,Bachelors,52.65,1,0,1,1,0
115,40yrs,,40.3,442355,1,0.63,Post Graduate,24.07,0,1,1,0,0
116,25,5,8.4,629673,4,0.2,12th or less,3.3,0,1,1,0,0
117,51yrs,30,54.76,309675,1,1.68,12th or less,51.0,1,0,0,1,0
118,28yrs,7,26.68,810070,4,0.53,12th or less,23.59,1,1,1,1,1
119,50yrs,31,11.73,355258,0,0.15,Post Graduate,13.49,1,1,0,0,1
120,59yrs,38,10.87,193806,2,0.36,Bachelors,10.56,0,0,1,0,1
121,22yrs,3,13.67,160899,4,0.33,Post Graduate,4.98,1,1,1,0,1
122,33yrs,14,27.72,361178,2,0.83,Bachelors,34.94,1,0,0,0,0
123,24yrs 3 months,2,5.61,105619,5,0.16,Bachelors,1.81,0,0,0,0,0
124,65yrs,46,37.05,814246,4,0.33,Bachelors,37.44,1,0,0,0,1
125,28yrs 9 months,8,25.64,579910,4,0.32,12th or less,9.97,1,0,1,0,1
126,59yrs,39,6.72,742494,1,0.05,Bachelors,7.43,1,0,1,1,1
127,45,26,13.25,500060,0,0.41,Bachelors,9.36,1,0,0,0,1
128,27,9,11.72,732827,3,0.14,Bachelors,3.06,1,1,1,1,0
129,34yrs,15,6.93,855581,1,0.21,12th or less,4.61,0,0,1,0,0
130,49,31,16.78,695374,2,0.53,Bachelors,10.99,1,0,1,1,0
131,65yrs,44,49.23,421881,3,0.68,12th or less,28.34,1,0,1,0,0
132,41,23,23.92,935441,1,0.76,Bachelors,13.48,1,0,1,0,0
133,57yrs 4 months,37,19.8,641910,0,0.2,Bachelors,11.03,1,0,0,0,1
134,53,33,29.86,651122,1,0.59,Post Graduate,21.35,0,0,0,0,0
135,61,42,35.52,157798,3,1.11,Bachelors,22.11,1,0,1,1,1
136,45,27,42.23,790401,2,0.39,Bachelors,41.97,1,1,0,0,1
137,34yrs 2 months,15,36.9,499729,5,0.74,Bachelors,5.74,1,1,0,0,1
138,29yrs 9 months,10,Rs 10 lacs,289183,2,0.05,Post Graduate,0.0,1,0,0,1,0
139,35,16,25.17,622742,5,0.28,Bachelors,7.62,1,1,0,1,1
140,27yrs 1 months,8,31.0,316642,5,0.49,Post Graduate,12.36,0,0,1,0,1
141,22,2,unemployed,219062,4,0.05,Bachelors,0.0,0,1,0,0,1
142,51yrs,30,10.84,685550,1,0.3,Post Graduate,4.01,0,0,0,0,0
143,27,7,16.03,157400,2,0.22,Bachelors,12.3,1,1,0,0,1
144,61,41,42.22,402889,5,0.23,Bachelors,27.93,0,0,0,1,1
145,31,11,n/a,413262,1,0.05,Post Graduate,0.0,1,1,0,1,0
146,33yrs,11,22.86,122456,5,0.24,Bachelors,27.17,1,0,0,1,0
147,33yrs 9 months,14,18.98,280171,5,0.39,Post Graduate,9.4,0,1,1,1,0
148,46,27,47.68,475691,2,0.88,12th or less,18.05,1,1,1,1,1
149,63yrs 8 months,41,16.62,403917,4,0.33,12th or less,4.39,0,1,0,0,1
150,28yrs,7,25.94,797560,0,0.86,Bachelors,9.33,1,1,0,0,1
151,34yrs 5 months,14,13.83,712410,3,0.16,12th or less,16.48,0,0,1,0,1
152,65yrs,47,Rs 24 lacs,740599,4,0.05,Post Graduate,0.0,0,0,1,1,1
153,22yrs 8 months,3,44.57,774602,2,0.36,Bachelors,26.41,1,0,1,0,1
154,62,44,16.72,860309,1,0.32,Bachelors,2.61,0,1,1,1,1
155,35yrs 9 months,15,28.6,760071,2,0.5,Bachelors,34.61,1,1,1,0,1
156,44yrs 10 months,26,57.19,112075,5,0.56,12th or less,21.3,1,0,0,0,0
157,54yrs,35,12.1,648332,3,0.31,Bachelors,2.76,0,0,1,0,0
158,24yrs 10 months,4,7.54,242790,1,0.06,12th or less,7.31,1,0,0,1,0
159,38yrs,19,n/a,918135,1,0.05,Post Graduate,0.0,1,0,1,0,1
160,45yrs,25,38.87,933862,0,0.44,Post Graduate,26.12,1,1,1,0,0
161,44yrs,24,24.89,832811,4,0.44,Bachelors,8.45,1,1,1,1,1
162,26,5,3.82,999553,0,0.07,12th or less,4.6,0,1,0,0,0
163,54,34,25.19,340193,5,0.84,Bachelors,11.31,1,1,1,1,0
164,58yrs 6 months,37,18.44,605712,3,0.27,Post Graduate,5.93,1,0,1,1,1
165,23yrs 7 months,3,unemployed,487924,2,0.05,Post Graduate,0.0,0,1,1,0,1
166,39,20,39.58,321314,0,0.62,12th or less,25.78,0,n/a,1,1,0
167,56,34,unemployed,588417,2,0.05,Bachelors,0.0,0,1,1,0,1
168,39yrs,19,15.33,855368,5,0.5,Bachelors,4.76,1,1,1,1,0
169,48yrs 4 months,27,12.67,238195,2,0.23,Post Graduate,10.42,0,1,1,1,1
170,30yrs 3 months,11,16.87,677324,4,0.55,12th or less,8.99,1,1,0,1,0
171,38,18,13.77,510755,4,0.46,Bachelors,13.61,1,1,0,1,1
172,24yrs 7 months,2,15.76,887306,0,0.51,12th or less,19.84,0,1,0,1,0
173,32,12,33.25,129438,1,0.59,Post Graduate,20.39,1,1,1,1,0
174,47,25,10.92,836398,4,0.19,Bachelors,2.75,1,n/a,0,0,1
175,49yrs 9 months,30,38.59,371591,1,1.19,Bachelors,10.34,1,1,1,0,1
176,32,12,13.69,305311,3,0.27,Bachelors,7.98,0,0,1,0,0
177,31,9,41.68,240891,1,0.64,12th or less,10.18,1,0,1,0,1
178,24,6,6.3,927174,2,0.18,Bachelors,4.56,0,0,1,0,0
179,44yrs 9 months,24,5.43,290719,5,0.05,Post Graduate,1.25,0,1,0,1,1
180,46yrs 6 months,26,31.63,794482,1,0.7,Bachelors,7.94,1,1,1,1,0
181,48,26,30.48,812284,1,0.53,12th or less,38.08,1,0,1,0,0
182,24,2,9.92,798270,2,0.24,12th or less,8.15,1,0,0,1,1
183,56yrs,37,11.98,352647,5,0.36,Bachelors,14.57,1,0,1,1,0
184,35,13,Rs 43 lacs,406329,1,0.05,Bachelors,0.0,0,0,1,0,1
185,42yrs,24,10.86,398340,0,0.33,Bachelors,11.22,0,0,1,1,0
186,44yrs 6 months,26,20.88,414775,4,0.22,Post Graduate,5.52,1,1,1,1,1
187,44,25,Rs 36 lacs,948025,0,0.05,12th or less,0.0,0,0,0,0,1
188,57yrs,38,14.74,772480,1,0.28,Bachelors,9.8,0,1,1,1,1
189,25yrs 10 months,3,36.72,703237,0,0.51,Bachelors,26.58,1,0,0,0,1
190,26yrs,7,9.79,140687,3,0.15,Bachelors,7.94,1,0,1,1,1
191,30,12,15.41,735914,3,0.45,Post Graduate,13.855,1,1,0,1,1
192,23yrs,1,30.43,978235,1,0.33,Post Graduate,36.99,0,0,0,1,0
193,58yrs,,33.44,472423,3,0.86,Post Graduate,43.08,0,0,0,0,1
194,54yrs 5 months,36,12.31,966546,3,0.25,Bachelors,13.71,0,0,0,1,1
195,26,6,29.26,513821,5,0.16,Post Graduate,22.54,1,1,1,1,1
196,30,12,10.96,886599,5,0.33,Bachelors,11.14,1,1,0,1,1
197,36,17,6.25,343039,0,0.09,Post Graduate,4.86,1,0,0,0,0
198,49yrs,27,13.9,165449,3,0.27,12th or less,11.75,0,1,1,1,1
199,23yrs,n/a,Rs 13 lacs,691593,1,0.05,Bachelors,0.0,1,0,0,1,0
200,31,11,12.81,616397,1,0.34,12th or less,11.44,0,0,1,1,0
201,57yrs,38,16.93,412388,2,0.53,Bachelors,9.55,0,1,1,0,0
202,24yrs,4,Rs 31 lacs,857138,4,0.05,12th or less,0.0,1,1,1,0,0
203,24yrs,5,18.72,794689,5,0.16,12th or less,15.02,1,0,1,1,0
204,44,24,36.05,929934,2,0.72,12th or less,20.76,1,0,0,0,0
205,48,28,57.33,816515,1,1.18,Bachelors,12.82,1,1,0,1,0
206,55yrs 10 months,34,30.46,665384,5,0.52,12th or less,10.74,0,1,1,1,1
207,58yrs 8 months,40,33.71,907698,2,0.24,Post Graduate,21.15,1,1,0,1,0
208,44yrs,24,38.21,796417,3,0.25,Bachelors,12.07,1,0,0,0,0
209,42yrs 10 months,24,11.99,541833,3,0.15,Bachelors,9.47,1,1,1,0,1
210,46yrs 5 months,24,43.0,467970,4,0.26,Post Graduate,30.48,0,0,0,0,1
211,38yrs,18,Rs 38 lacs,922602,5,0.05,Bachelors,0.0,0,0,0,1,1
212,23yrs 1 months,3,unemployed,441110,2,0.05,Post Graduate,0.0,0,1,0,1,1
213,31,9,22.01,684582,0,0.62,Bachelors,27.67,1,n/a,0,0,1
214,29,n/a,26.94,280581,3,0.43,12th or less,6.1,1,1,0,1,1
215,53yrs,n/a,13.75,203628,4,0.46,Bachelors,5.5,0,1,0,1,1
216,46,28,20.44,783991,0,0.68,Bachelors,20.4,1,0,1,0,1
217,56,36,87.21,493711,0,1.75,Bachelors,83.15,1,0,0,1,1
218,24,5,15.99,320284,12,2.05,12th or less,5.53,1,0,1,0,0
219,22yrs,1,13.98,219799,4,0.15,Bachelors,12.2,1,1,1,1,1
220,28yrs,7,22.39,593651,4,0.2,Post Graduate,21.61,1,1,0,1,1
221,27yrs,6,19.56,367806,2,0.39,12th or less,9.22,0,0,0,1,1
222,56yrs,36,Rs 12 lacs,836407,0,0.05,Post Graduate,0.0,1,0,1,1,0
223,54,32,24.64,693601,1,0.62,Bachelors,21.3,0,1,0,0,1
224,60,40,13.74,551377,1,0.36,Bachelors,13.23,1,0,1,0,0
225,39yrs,18,n/a,891999,3,0.05,Bachelors,0.0,1,0,0,1,0
226,49yrs 9 months,29,11.97,468594,2,0.36,Bachelors,15.4,0,1,0,0,0
227,59yrs 5 months,41,10.65,698928,2,0.23,12th or less,7.53,1,0,1,0,0
228,26yrs,4,unemployed,116021,5,0.05,12th or less,0.0,1,1,1,0,0
229,30yrs 4 months,8,24.66,760131,2,0.25,12th or less,6.96,0,1,1,0,0
230,61,42,25.68,633907,3,0.11,12th or less,26.89,1,1,0,0,1
231,62,44,44.8,671931,4,0.36,Bachelors,36.83,1,0,1,1,0
232,25yrs,4,21.81,602595,4,0.5,Bachelors,10.48,1,1,1,0,1
233,44yrs,25,unemployed,842026,0,0.05,Post Graduate,0.0,0,0,1,1,0
234,61,41,10.7,274397,0,0.23,Bachelors,4.26,1,n/a,1,0,1
235,42,23,22.59,249173,2,0.69,Bachelors,9.25,1,0,0,1,0
236,46yrs 2 months,25,13.48,537465,0,0.31,12th or less,4.0,1,0,0,0,1
237,57yrs,36,11.01,360763,2,0.23,Bachelors,13.88,0,1,1,0,0
238,65,43,13.22,617835,0,0.13,Post Graduate,15.33,1,1,1,1,1
239,49yrs 8 months,27,Rs 26 lacs,407535,3,0.05,12th or less,0.0,1,1,1,1,1
240,56,38,unemployed,795104,3,0.05,12th or less,0.0,1,0,0,0,0
241,40yrs,22,28.32,236650,2,0.49,Bachelors,12.66,1,1,1,1,1
242,38yrs 7 months,19,n/a,593482,3,0.05,Bachelors,0.0,1,1,1,0,0
243,60yrs,42,60.9,914788,5,1.88,Bachelors,68.55,1,0,1,1,0
244,65,43,24.3,646614,1,0.74,12th or less,8.71,1,0,1,0,0
245,61,43,17.36,492622,10,0.43,Post Graduate,7.462999999999999,0,0,0,0,0
246,35yrs 4 months,17,81.95,281718,4,2.06,Bachelors,17.43,1,0,0,0,0
247,35yrs 4 months,13,22.38,395197,2,0.38,12th or less,7.38,1,0,0,0,1
248,44yrs 2 months,26,63.7,533223,3,2.07,12th or less,40.74,1,1,1,0,0
249,49yrs,29,35.54,781852,0,0.87,Post Graduate,8.15,1,1,1,0,1
250,37,15,15.25,347095,1,0.26,Bachelors,11.58,1,0,0,0,0
251,45yrs,25,12.61,918725,1,0.24,12th or less,26.86,0,1,1,1,0
252,36,14,Rs 16 lacs,550179,3,0.05,12th or less,0.0,0,1,1,0,0
253,37,17,25.22,451487,5,0.67,12th or less,6.1,0,0,0,0,1
254,41yrs 4 months,22,28.45,378592,4,0.61,Bachelors,11.13,0,1,1,1,1
255,64yrs,42,18.07,572657,5,0.56,12th or less,19.73,1,0,1,1,1
256,47yrs 7 months,29,22.14,859037,0,0.4,Post Graduate,9.22,0,0,0,1,1
257,25yrs,4,38.88,372091,0,0.67,Bachelors,39.25,1,1,0,0,1
258,42yrs 5 months,22,24.09,371441,5,0.46,12th or less,11.11,1,1,1,1,1
259,53,31,16.63,113540,2,0.51,12th or less,9.69,1,0,1,0,1
260,60yrs,40,23.35,699563,2,0.34,Bachelors,11.74,1,1,1,0,0
261,22yrs 4 months,3,26.08,964741,3,0.75,12th or less,9.09,1,0,1,1,1
262,55yrs,35,9.45,117518,10,0.26,12th or less,8.49,0,1,0,0,0
263,63yrs,44,Rs 19 lacs,212389,0,0.05,12th or less,0.0,0,1,1,1,1
264,39yrs 8 months,20,25.56,533254,1,0.41,Post Graduate,23.6,1,0,0,1,0
265,60,42,unemployed,269456,0,0.05,Bachelors,0.0,0,1,1,0,0
266,47,27,25.66,231767,1,0.56,Post Graduate,16.2,1,1,0,0,0
267,60yrs,,31.42,631689,1,0.98,12th or less,24.98,1,1,0,0,0
268,56yrs,34,82.94,696639,0,0.78,12th or less,39.49,1,1,1,0,0
269,59yrs,n/a,Rs 56 lacs,172777,0,0.05,Bachelors,0.0,1,1,1,1,1
270,22,4,11.71,724358,1,0.19,Bachelors,15.07,0,1,1,0,0
271,61yrs 8 months,41,29.98,159851,3,0.15,Bachelors,35.13,0,0,1,1,0
272,38yrs 5 months,,37.2,435095,3,0.94,12th or less,42.54,1,1,1,1,0
273,43,,31.4,657860,2,0.76,12th or less,14.0,1,0,1,1,1
274,46yrs,24,22.91,166832,4,0.58,12th or less,9.42,1,1,1,1,0
275,31yrs 3 months,11,n/a,926891,0,0.05,Post Graduate,0.0,1,0,1,0,0
276,21,1,17.86,969310,2,2.06,12th or less,13.06,1,1,0,1,1
277,56yrs 6 months,36,25.19,646640,4,0.31,12th or less,10.21,1,1,0,0,1
278,40yrs,22,44.98,577688,0,0.77,Bachelors,37.6,1,0,0,1,1
279,51,32,22.67,854432,5,0.48,Post Graduate,10.74,1,0,1,0,0
280,28yrs,6,27.14,734227,2,0.62,Bachelors,28.3,1,0,1,1,1
281,60,38,13.97,114386,5,0.44,Bachelors,7.44,1,0,1,0,1
282,44,,28.28,724779,5,0.87,12th or less,14.59,0,0,1,1,0
283,40yrs 2 months,22,19.6,566966,4,0.14,12th or less,11.12,0,0,1,1,1
284,35yrs,17,11.98,897502,5,0.27,Bachelors,8.76,0,1,1,1,0
285,50yrs 2 months,29,33.19,100790,0,0.66,12th or less,9.45,1,0,0,1,0
286,40yrs,21,20.74,586538,2,0.67,12th or less,24.39,1,1,1,1,1
287,58,40,36.49,216579,2,0.48,12th or less,23.494,1,1,0,1,1
288,22,4,9.83,749822,4,0.05,12th or less,1.88,1,1,0,0,0
289,26yrs,5,17.54,774413,5,0.12,Post Graduate,13.58,0,0,0,1,1
290,62yrs 3 months,,Rs 29 lacs,790911,2,0.05,Bachelors,0.0,1,1,1,0,0
291,38yrs,18,10.29,792634,5,0.97,12th or less,3.02,0,1,0,0,0
292,56yrs 3 months,34,25.7,470584,1,0.58,Bachelors,9.75,1,0,1,0,0
293,34yrs 1 months,13,n/a,396101,5,0.05,12th or less,0.0,1,0,0,1,0
294,46,26,20.25,139689,10,0.39,12th or less,26.24,0,1,0,1,0
295,54yrs 6 months,34,44.1,614246,4,1.13,12th or less,10.8,1,n/a,1,0,0
296,50,30,n/a,494909,2,0.05,Post Graduate,0.0,0,0,0,0,0
297,27,9,29.03,269870,2,0.43,Bachelors,27.15,1,1,0,1,1
298,50yrs,28,Rs 15 lacs,435851,1,0.05,12th or less,0.0,0,0,0,1,0
299,38yrs 11 months,19,Rs 22 lacs,916388,3,0.05,12th or less,0.0,1,1,0,0,1
300,42yrs,21,33.93,685439,4,1.11,Post Graduate,26.32,1,1,0,0,1
301,37,18,26.61,310090,2,0.59,Bachelors,13.29,1,n/a,1,0,0
302,51,33,13.08,973355,0,0.41,Bachelors,10.32,1,0,0,1,0
303,37yrs,17,23.66,720978,3,0.11,Bachelors,3.82,0,1,1,1,0
304,51,29,20.15,718448,0,0.21,12th or less,10.36,1,1,0,0,1
305,33,14,13.8,213981,2,0.1,12th or less,6.31,0,0,0,1,1
306,47yrs,28,15.1,683330,0,0.27,Bachelors,6.63,0,1,1,1,1
307,40yrs 4 months,n/a,22.13,987334,2,0.35,12th or less,9.55,1,0,1,1,1
308,37yrs 4 months,17,30.11,721147,3,0.32,Post Graduate,36.86,1,0,1,0,0
309,49yrs 6 months,30,Rs 28 lacs,831392,4,0.05,12th or less,0.0,1,0,1,1,0
310,59yrs,40,25.67,153026,3,0.63,Post Graduate,15.95,1,1,0,1,0
311,55,36,50.49,987289,3,1.22,Bachelors,43.68,1,0,0,0,0
312,28,10,22.41,846439,1,0.7,Bachelors,21.84,1,1,1,1,0
313,63,42,21.44,440079,0,0.54,12th or less,19.18,1,1,0,1,1
314,58yrs,38,n/a,272230,3,0.05,12th or less,0.0,0,1,1,1,0
315,35yrs 1 months,13,16.58,781470,5,0.49,12th or less,12.85,0,1,0,0,1
316,21,3,Rs 25 lacs,550388,1,0.05,12th or less,0.0,0,1,0,1,1
317,53,35,36.78,374061,5,0.66,Post Graduate,45.07,0,0,0,0,0
318,23yrs 5 months,4,21.75,196948,4,0.16,Post Graduate,20.33,0,1,1,0,1
319,59,39,18.51,878939,3,0.38,Bachelors,19.86,1,1,0,1,1
320,58yrs,36,Rs 48 lacs,193235,1,0.05,Bachelors,0.0,0,1,0,1,0
321,35,15,10.64,653789,4,0.33,Bachelors,6.13,1,0,1,1,1
322,62yrs 11 months,44,15.21,867544,5,0.33,Post Graduate,17.5,0,1,1,0,1
323,38yrs 9 months,n/a,37.44,609026,0,0.99,12th or less,29.001999999999995,1,1,1,0,0
324,58,38,20.62,518630,0,0.25,Bachelors,17.01,1,1,1,0,1
325,51yrs,33,45.92,526166,1,1.05,Post Graduate,44.77,1,1,0,0,0
326,40yrs 6 months,19,unemployed,837728,3,0.05,Bachelors,0.0,0,1,0,1,0
