sentence,abbreviation,expansion
PCP related findings such as clinic plus follow‑up were documented.,PCP,Primary Care Physician
The PCP indicated follow‑up and family during evaluation.,PCP,Primary Care Physician
PCP related findings such as clinic plus follow‑up were documented.,PCP,Primary Care Physician
The PCP indicated family and referral during evaluation.,PCP,Primary Care Physician
The PCP indicated follow‑up and family during evaluation.,PCP,Primary Care Physician
Clinicians discussed referral and family when referring to PCP.,PCP,Primary Care Physician
The PCP indicated family and clinic during evaluation.,PCP,Primary Care Physician
Clinicians discussed clinic and referral when referring to PCP.,PCP,Primary Care Physician
The PCP indicated clinic and referral during evaluation.,PCP,Primary Care Physician
Clinicians discussed family and clinic when referring to PCP.,PCP,Primary Care Physician
Assessment showed clinic; PCP signified presence of follow‑up.,PCP,Primary Care Physician
PCP related findings such as family plus clinic were documented.,PCP,Primary Care Physician
The PCP indicated follow‑up and family during evaluation.,PCP,Primary Care Physician
PCP related findings such as follow‑up plus family were documented.,PCP,Primary Care Physician
Clinicians discussed referral and follow‑up when referring to PCP.,PCP,Primary Care Physician
PCP related findings such as follow‑up plus clinic were documented.,PCP,Primary Care Physician
Assessment showed follow‑up; PCP signified presence of referral.,PCP,Primary Care Physician
The PCP indicated family and referral during evaluation.,PCP,Primary Care Physician
Clinicians discussed clinic and referral when referring to PCP.,PCP,Primary Care Physician
PCP related findings such as family plus follow‑up were documented.,PCP,Primary Care Physician
The PCP indicated follow‑up and family during evaluation.,PCP,Primary Care Physician
Clinicians discussed follow‑up and family when referring to PCP.,PCP,Primary Care Physician
PCP related findings such as referral plus family were documented.,PCP,Primary Care Physician
Clinicians discussed referral and follow‑up when referring to PCP.,PCP,Primary Care Physician
Clinicians discussed family and clinic when referring to PCP.,PCP,Primary Care Physician
PCP related findings such as referral plus family were documented.,PCP,Primary Care Physician
The PCP indicated referral and family during evaluation.,PCP,Primary Care Physician
PCP related findings such as follow‑up plus family were documented.,PCP,Primary Care Physician
Clinicians discussed clinic and follow‑up when referring to PCP.,PCP,Primary Care Physician
Assessment showed family; PCP signified presence of clinic.,PCP,Primary Care Physician
PCP related findings such as follow‑up plus clinic were documented.,PCP,Primary Care Physician
Clinicians discussed referral and clinic when referring to PCP.,PCP,Primary Care Physician
follow‑up was noted near the PCP context along with family.,PCP,Primary Care Physician
PCP related findings such as family plus follow‑up were documented.,PCP,Primary Care Physician
Clinicians discussed family and clinic when referring to PCP.,PCP,Primary Care Physician
The PCP indicated follow‑up and referral during evaluation.,PCP,Primary Care Physician
PCP related findings such as clinic plus family were documented.,PCP,Primary Care Physician
Assessment showed follow‑up; PCP signified presence of family.,PCP,Primary Care Physician
PCP related findings such as referral plus family were documented.,PCP,Primary Care Physician
clinic was noted near the PCP context along with follow‑up.,PCP,Primary Care Physician
family was noted near the PCP context along with clinic.,PCP,Primary Care Physician
Assessment showed family; PCP signified presence of follow‑up.,PCP,Primary Care Physician
PCP related findings such as follow‑up plus family were documented.,PCP,Primary Care Physician
Assessment showed family; PCP signified presence of follow‑up.,PCP,Primary Care Physician
clinic was noted near the PCP context along with referral.,PCP,Primary Care Physician
Assessment showed family; PCP signified presence of clinic.,PCP,Primary Care Physician
The PCP indicated family and referral during evaluation.,PCP,Primary Care Physician
clinic was noted near the PCP context along with family.,PCP,Primary Care Physician
Assessment showed follow‑up; PCP signified presence of referral.,PCP,Primary Care Physician
Clinicians discussed clinic and referral when referring to PCP.,PCP,Primary Care Physician
Clinicians discussed referral and family when referring to PCP.,PCP,Primary Care Physician
Assessment showed referral; PCP signified presence of family.,PCP,Primary Care Physician
Clinicians discussed referral and family when referring to PCP.,PCP,Primary Care Physician
PCP related findings such as referral plus follow‑up were documented.,PCP,Primary Care Physician
clinic was noted near the PCP context along with follow‑up.,PCP,Primary Care Physician
Clinicians discussed follow‑up and family when referring to PCP.,PCP,Primary Care Physician
Clinicians discussed family and follow‑up when referring to PCP.,PCP,Primary Care Physician
Assessment showed follow‑up; PCP signified presence of clinic.,PCP,Primary Care Physician
The PCP indicated referral and clinic during evaluation.,PCP,Primary Care Physician
clinic was noted near the PCP context along with referral.,PCP,Primary Care Physician
referral was noted near the PCP context along with clinic.,PCP,Primary Care Physician
The PCP indicated clinic and referral during evaluation.,PCP,Primary Care Physician
PCP related findings such as family plus clinic were documented.,PCP,Primary Care Physician
Assessment showed follow‑up; PCP signified presence of clinic.,PCP,Primary Care Physician
Assessment showed referral; PCP signified presence of family.,PCP,Primary Care Physician
Assessment showed referral; PCP signified presence of clinic.,PCP,Primary Care Physician
Assessment showed follow‑up; PCP signified presence of referral.,PCP,Primary Care Physician
Clinicians discussed family and follow‑up when referring to PCP.,PCP,Primary Care Physician
family was noted near the PCP context along with clinic.,PCP,Primary Care Physician
follow‑up was noted near the PCP context along with clinic.,PCP,Primary Care Physician
The PCP indicated family and follow‑up during evaluation.,PCP,Primary Care Physician
Clinicians discussed family and referral when referring to PCP.,PCP,Primary Care Physician
referral was noted near the PCP context along with follow‑up.,PCP,Primary Care Physician
Clinicians discussed family and clinic when referring to PCP.,PCP,Primary Care Physician
Clinicians discussed follow‑up and referral when referring to PCP.,PCP,Primary Care Physician
PCP related findings such as family plus follow‑up were documented.,PCP,Primary Care Physician
The PCP indicated referral and clinic during evaluation.,PCP,Primary Care Physician
Assessment showed family; PCP signified presence of referral.,PCP,Primary Care Physician
Clinicians discussed family and referral when referring to PCP.,PCP,Primary Care Physician
Assessment showed family; PCP signified presence of follow‑up.,PCP,Primary Care Physician
The PCP indicated family and referral during evaluation.,PCP,Primary Care Physician
The PCP indicated family and clinic during evaluation.,PCP,Primary Care Physician
Assessment showed clinic; PCP signified presence of follow‑up.,PCP,Primary Care Physician
The PCP indicated clinic and family during evaluation.,PCP,Primary Care Physician
The PCP indicated referral and follow‑up during evaluation.,PCP,Primary Care Physician
Assessment showed follow‑up; PCP signified presence of clinic.,PCP,Primary Care Physician
The PCP indicated family and follow‑up during evaluation.,PCP,Primary Care Physician
The PCP indicated referral and clinic during evaluation.,PCP,Primary Care Physician
referral was noted near the PCP context along with family.,PCP,Primary Care Physician
Assessment showed referral; PCP signified presence of family.,PCP,Primary Care Physician
PCP related findings such as follow‑up plus clinic were documented.,PCP,Primary Care Physician
The PCP indicated referral and follow‑up during evaluation.,PCP,Primary Care Physician
follow‑up was noted near the PCP context along with clinic.,PCP,Primary Care Physician
clinic was noted near the PCP context along with family.,PCP,Primary Care Physician
Assessment showed follow‑up; PCP signified presence of referral.,PCP,Primary Care Physician
PCP related findings such as referral plus clinic were documented.,PCP,Primary Care Physician
Assessment showed family; PCP signified presence of referral.,PCP,Primary Care Physician
Clinicians discussed clinic and family when referring to PCP.,PCP,Primary Care Physician
Assessment showed follow‑up; PCP signified presence of clinic.,PCP,Primary Care Physician
clinic was noted near the PCP context along with family.,PCP,Primary Care Physician
clinic was noted near the PCP context along with follow‑up.,PCP,Primary Care Physician
PCP related findings such as referral plus follow‑up were documented.,PCP,Primary Care Physician
Clinicians discussed referral and clinic when referring to PCP.,PCP,Primary Care Physician
The PCP indicated follow‑up and referral during evaluation.,PCP,Primary Care Physician
Assessment showed HIV; PCP signified presence of opportunistic.,PCP,Pneumocystis Pneumonia
The PCP indicated opportunistic and ground‑glass during evaluation.,PCP,Pneumocystis Pneumonia
Clinicians discussed opportunistic and HIV when referring to PCP.,PCP,Pneumocystis Pneumonia
PCP related findings such as opportunistic plus TMP‑SMX were documented.,PCP,Pneumocystis Pneumonia
PCP related findings such as opportunistic plus TMP‑SMX were documented.,PCP,Pneumocystis Pneumonia
Assessment showed HIV; PCP signified presence of opportunistic.,PCP,Pneumocystis Pneumonia
PCP related findings such as HIV plus ground‑glass were documented.,PCP,Pneumocystis Pneumonia
Assessment showed ground‑glass; PCP signified presence of HIV.,PCP,Pneumocystis Pneumonia
Clinicians discussed TMP‑SMX and HIV when referring to PCP.,PCP,Pneumocystis Pneumonia
Clinicians discussed HIV and ground‑glass when referring to PCP.,PCP,Pneumocystis Pneumonia
Assessment showed ground‑glass; PCP signified presence of opportunistic.,PCP,Pneumocystis Pneumonia
Assessment showed TMP‑SMX; PCP signified presence of opportunistic.,PCP,Pneumocystis Pneumonia
HIV was noted near the PCP context along with opportunistic.,PCP,Pneumocystis Pneumonia
Assessment showed HIV; PCP signified presence of TMP‑SMX.,PCP,Pneumocystis Pneumonia
PCP related findings such as ground‑glass plus opportunistic were documented.,PCP,Pneumocystis Pneumonia
Assessment showed opportunistic; PCP signified presence of TMP‑SMX.,PCP,Pneumocystis Pneumonia
ground‑glass was noted near the PCP context along with opportunistic.,PCP,Pneumocystis Pneumonia
Assessment showed HIV; PCP signified presence of TMP‑SMX.,PCP,Pneumocystis Pneumonia
The PCP indicated TMP‑SMX and ground‑glass during evaluation.,PCP,Pneumocystis Pneumonia
Assessment showed opportunistic; PCP signified presence of ground‑glass.,PCP,Pneumocystis Pneumonia
The PCP indicated opportunistic and ground‑glass during evaluation.,PCP,Pneumocystis Pneumonia
Assessment showed ground‑glass; PCP signified presence of opportunistic.,PCP,Pneumocystis Pneumonia
Assessment showed TMP‑SMX; PCP signified presence of ground‑glass.,PCP,Pneumocystis Pneumonia
The PCP indicated TMP‑SMX and opportunistic during evaluation.,PCP,Pneumocystis Pneumonia
The PCP indicated TMP‑SMX and ground‑glass during evaluation.,PCP,Pneumocystis Pneumonia
ground‑glass was noted near the PCP context along with TMP‑SMX.,PCP,Pneumocystis Pneumonia
ground‑glass was noted near the PCP context along with TMP‑SMX.,PCP,Pneumocystis Pneumonia
Assessment showed ground‑glass; PCP signified presence of opportunistic.,PCP,Pneumocystis Pneumonia
Assessment showed ground‑glass; PCP signified presence of TMP‑SMX.,PCP,Pneumocystis Pneumonia
PCP related findings such as ground‑glass plus TMP‑SMX were documented.,PCP,Pneumocystis Pneumonia
HIV was noted near the PCP context along with ground‑glass.,PCP,Pneumocystis Pneumonia
The PCP indicated HIV and ground‑glass during evaluation.,PCP,Pneumocystis Pneumonia
PCP related findings such as TMP‑SMX plus ground‑glass were documented.,PCP,Pneumocystis Pneumonia
The PCP indicated HIV and ground‑glass during evaluation.,PCP,Pneumocystis Pneumonia
The PCP indicated TMP‑SMX and HIV during evaluation.,PCP,Pneumocystis Pneumonia
The PCP indicated ground‑glass and TMP‑SMX during evaluation.,PCP,Pneumocystis Pneumonia
Assessment showed opportunistic; PCP signified presence of TMP‑SMX.,PCP,Pneumocystis Pneumonia
Clinicians discussed TMP‑SMX and opportunistic when referring to PCP.,PCP,Pneumocystis Pneumonia
TMP‑SMX was noted near the PCP context along with HIV.,PCP,Pneumocystis Pneumonia
PCP related findings such as TMP‑SMX plus opportunistic were documented.,PCP,Pneumocystis Pneumonia
PCP related findings such as HIV plus opportunistic were documented.,PCP,Pneumocystis Pneumonia
PCP related findings such as ground‑glass plus opportunistic were documented.,PCP,Pneumocystis Pneumonia
HIV was noted near the PCP context along with ground‑glass.,PCP,Pneumocystis Pneumonia
The PCP indicated ground‑glass and opportunistic during evaluation.,PCP,Pneumocystis Pneumonia
Clinicians discussed opportunistic and TMP‑SMX when referring to PCP.,PCP,Pneumocystis Pneumonia
PCP related findings such as opportunistic plus TMP‑SMX were documented.,PCP,Pneumocystis Pneumonia
Assessment showed ground‑glass; PCP signified presence of HIV.,PCP,Pneumocystis Pneumonia
opportunistic was noted near the PCP context along with TMP‑SMX.,PCP,Pneumocystis Pneumonia
The PCP indicated ground‑glass and opportunistic during evaluation.,PCP,Pneumocystis Pneumonia
Clinicians discussed HIV and ground‑glass when referring to PCP.,PCP,Pneumocystis Pneumonia
PCP related findings such as ground‑glass plus opportunistic were documented.,PCP,Pneumocystis Pneumonia
Clinicians discussed ground‑glass and opportunistic when referring to PCP.,PCP,Pneumocystis Pneumonia
Assessment showed TMP‑SMX; PCP signified presence of opportunistic.,PCP,Pneumocystis Pneumonia
Assessment showed HIV; PCP signified presence of TMP‑SMX.,PCP,Pneumocystis Pneumonia
Assessment showed ground‑glass; PCP signified presence of opportunistic.,PCP,Pneumocystis Pneumonia
PCP related findings such as opportunistic plus ground‑glass were documented.,PCP,Pneumocystis Pneumonia
PCP related findings such as ground‑glass plus opportunistic were documented.,PCP,Pneumocystis Pneumonia
The PCP indicated TMP‑SMX and opportunistic during evaluation.,PCP,Pneumocystis Pneumonia
Clinicians discussed opportunistic and TMP‑SMX when referring to PCP.,PCP,Pneumocystis Pneumonia
Assessment showed opportunistic; PCP signified presence of ground‑glass.,PCP,Pneumocystis Pneumonia
Assessment showed ground‑glass; PCP signified presence of HIV.,PCP,Pneumocystis Pneumonia
TMP‑SMX was noted near the PCP context along with HIV.,PCP,Pneumocystis Pneumonia
Clinicians discussed opportunistic and TMP‑SMX when referring to PCP.,PCP,Pneumocystis Pneumonia
Clinicians discussed ground‑glass and HIV when referring to PCP.,PCP,Pneumocystis Pneumonia
ground‑glass was noted near the PCP context along with HIV.,PCP,Pneumocystis Pneumonia
PCP related findings such as HIV plus TMP‑SMX were documented.,PCP,Pneumocystis Pneumonia
TMP‑SMX was noted near the PCP context along with HIV.,PCP,Pneumocystis Pneumonia
The PCP indicated opportunistic and ground‑glass during evaluation.,PCP,Pneumocystis Pneumonia
The PCP indicated ground‑glass and TMP‑SMX during evaluation.,PCP,Pneumocystis Pneumonia
Clinicians discussed opportunistic and TMP‑SMX when referring to PCP.,PCP,Pneumocystis Pneumonia
PCP related findings such as opportunistic plus HIV were documented.,PCP,Pneumocystis Pneumonia
HIV was noted near the PCP context along with ground‑glass.,PCP,Pneumocystis Pneumonia
Assessment showed TMP‑SMX; PCP signified presence of opportunistic.,PCP,Pneumocystis Pneumonia
The PCP indicated HIV and opportunistic during evaluation.,PCP,Pneumocystis Pneumonia
Clinicians discussed HIV and ground‑glass when referring to PCP.,PCP,Pneumocystis Pneumonia
PCP related findings such as ground‑glass plus opportunistic were documented.,PCP,Pneumocystis Pneumonia
HIV was noted near the PCP context along with ground‑glass.,PCP,Pneumocystis Pneumonia
The PCP indicated TMP‑SMX and ground‑glass during evaluation.,PCP,Pneumocystis Pneumonia
The PCP indicated TMP‑SMX and ground‑glass during evaluation.,PCP,Pneumocystis Pneumonia
Clinicians discussed TMP‑SMX and HIV when referring to PCP.,PCP,Pneumocystis Pneumonia
The PCP indicated opportunistic and ground‑glass during evaluation.,PCP,Pneumocystis Pneumonia
Clinicians discussed TMP‑SMX and HIV when referring to PCP.,PCP,Pneumocystis Pneumonia
Clinicians discussed ground‑glass and HIV when referring to PCP.,PCP,Pneumocystis Pneumonia
PCP related findings such as TMP‑SMX plus opportunistic were documented.,PCP,Pneumocystis Pneumonia
PCP related findings such as HIV plus opportunistic were documented.,PCP,Pneumocystis Pneumonia
Clinicians discussed HIV and TMP‑SMX when referring to PCP.,PCP,Pneumocystis Pneumonia
PCP related findings such as HIV plus opportunistic were documented.,PCP,Pneumocystis Pneumonia
Assessment showed opportunistic; PCP signified presence of HIV.,PCP,Pneumocystis Pneumonia
Assessment showed opportunistic; PCP signified presence of ground‑glass.,PCP,Pneumocystis Pneumonia
Assessment showed TMP‑SMX; PCP signified presence of HIV.,PCP,Pneumocystis Pneumonia
TMP‑SMX was noted near the PCP context along with opportunistic.,PCP,Pneumocystis Pneumonia
The PCP indicated ground‑glass and HIV during evaluation.,PCP,Pneumocystis Pneumonia
Assessment showed opportunistic; PCP signified presence of HIV.,PCP,Pneumocystis Pneumonia
The PCP indicated ground‑glass and HIV during evaluation.,PCP,Pneumocystis Pneumonia
Assessment showed ground‑glass; PCP signified presence of opportunistic.,PCP,Pneumocystis Pneumonia
The PCP indicated HIV and TMP‑SMX during evaluation.,PCP,Pneumocystis Pneumonia
The PCP indicated opportunistic and TMP‑SMX during evaluation.,PCP,Pneumocystis Pneumonia
The PCP indicated opportunistic and HIV during evaluation.,PCP,Pneumocystis Pneumonia
The PCP indicated ground‑glass and HIV during evaluation.,PCP,Pneumocystis Pneumonia
Assessment showed ground‑glass; PCP signified presence of HIV.,PCP,Pneumocystis Pneumonia
PCP related findings such as ground‑glass plus HIV were documented.,PCP,Pneumocystis Pneumonia
ground‑glass was noted near the PCP context along with TMP‑SMX.,PCP,Pneumocystis Pneumonia
PCP related findings such as ground‑glass plus opportunistic were documented.,PCP,Pneumocystis Pneumonia
Assessment showed ground‑glass; PCP signified presence of TMP‑SMX.,PCP,Pneumocystis Pneumonia
Assessment showed HIV; PCP signified presence of ground‑glass.,PCP,Pneumocystis Pneumonia
Assessment showed opportunistic; PCP signified presence of ground‑glass.,PCP,Pneumocystis Pneumonia
The PCP indicated HIV and opportunistic during evaluation.,PCP,Pneumocystis Pneumonia
Clinicians discussed HIV and ground‑glass when referring to PCP.,PCP,Pneumocystis Pneumonia
The PCP indicated ground‑glass and opportunistic during evaluation.,PCP,Pneumocystis Pneumonia
Clinicians discussed HIV and TMP‑SMX when referring to PCP.,PCP,Pneumocystis Pneumonia
Assessment showed ground‑glass; PCP signified presence of HIV.,PCP,Pneumocystis Pneumonia
opportunistic was noted near the PCP context along with ground‑glass.,PCP,Pneumocystis Pneumonia
opportunistic was noted near the PCP context along with HIV.,PCP,Pneumocystis Pneumonia
The PCP indicated TMP‑SMX and ground‑glass during evaluation.,PCP,Pneumocystis Pneumonia
The PCP indicated TMP‑SMX and HIV during evaluation.,PCP,Pneumocystis Pneumonia
The PCP indicated TMP‑SMX and opportunistic during evaluation.,PCP,Pneumocystis Pneumonia
TMP‑SMX was noted near the PCP context along with opportunistic.,PCP,Pneumocystis Pneumonia
ground‑glass was noted near the PCP context along with opportunistic.,PCP,Pneumocystis Pneumonia
PCP related findings such as opportunistic plus ground‑glass were documented.,PCP,Pneumocystis Pneumonia
PCP related findings such as opportunistic plus ground‑glass were documented.,PCP,Pneumocystis Pneumonia
Assessment showed TMP‑SMX; PCP signified presence of HIV.,PCP,Pneumocystis Pneumonia
ground‑glass was noted near the PCP context along with HIV.,PCP,Pneumocystis Pneumonia
Clinicians discussed opportunistic and TMP‑SMX when referring to PCP.,PCP,Pneumocystis Pneumonia
TMP‑SMX was noted near the PCP context along with HIV.,PCP,Pneumocystis Pneumonia
TMP‑SMX was noted near the PCP context along with ground‑glass.,PCP,Pneumocystis Pneumonia
Assessment showed opportunistic; PCP signified presence of TMP‑SMX.,PCP,Pneumocystis Pneumonia
The PCP indicated HIV and TMP‑SMX during evaluation.,PCP,Pneumocystis Pneumonia
PCP related findings such as HIV plus opportunistic were documented.,PCP,Pneumocystis Pneumonia
Clinicians discussed HIV and opportunistic when referring to PCP.,PCP,Pneumocystis Pneumonia
Clinicians discussed opportunistic and TMP‑SMX when referring to PCP.,PCP,Pneumocystis Pneumonia
PCP related findings such as TMP‑SMX plus opportunistic were documented.,PCP,Pneumocystis Pneumonia
Clinicians discussed ground‑glass and HIV when referring to PCP.,PCP,Pneumocystis Pneumonia
Clinicians discussed opportunistic and HIV when referring to PCP.,PCP,Pneumocystis Pneumonia
TMP‑SMX was noted near the PCP context along with opportunistic.,PCP,Pneumocystis Pneumonia
Assessment showed HIV; PCP signified presence of opportunistic.,PCP,Pneumocystis Pneumonia
The PCP indicated opportunistic and HIV during evaluation.,PCP,Pneumocystis Pneumonia
The PCP indicated TMP‑SMX and ground‑glass during evaluation.,PCP,Pneumocystis Pneumonia
Clinicians discussed TMP‑SMX and HIV when referring to PCP.,PCP,Pneumocystis Pneumonia
Clinicians discussed ground‑glass and opportunistic when referring to PCP.,PCP,Pneumocystis Pneumonia
opportunistic was noted near the PCP context along with HIV.,PCP,Pneumocystis Pneumonia
PCP related findings such as TMP‑SMX plus HIV were documented.,PCP,Pneumocystis Pneumonia
The PCP indicated ground‑glass and TMP‑SMX during evaluation.,PCP,Pneumocystis Pneumonia
The PCP indicated opportunistic and TMP‑SMX during evaluation.,PCP,Pneumocystis Pneumonia
PCP related findings such as TMP‑SMX plus HIV were documented.,PCP,Pneumocystis Pneumonia
PCP related findings such as ground‑glass plus TMP‑SMX were documented.,PCP,Pneumocystis Pneumonia
Clinicians discussed TMP‑SMX and ground‑glass when referring to PCP.,PCP,Pneumocystis Pneumonia
ground‑glass was noted near the PCP context along with HIV.,PCP,Pneumocystis Pneumonia
The PCP indicated ground‑glass and opportunistic during evaluation.,PCP,Pneumocystis Pneumonia
Clinicians discussed opportunistic and TMP‑SMX when referring to PCP.,PCP,Pneumocystis Pneumonia
PCP related findings such as HIV plus ground‑glass were documented.,PCP,Pneumocystis Pneumonia
Clinicians discussed HIV and TMP‑SMX when referring to PCP.,PCP,Pneumocystis Pneumonia
The PCP indicated TMP‑SMX and HIV during evaluation.,PCP,Pneumocystis Pneumonia
PCP related findings such as opportunistic plus HIV were documented.,PCP,Pneumocystis Pneumonia
ground‑glass was noted near the PCP context along with opportunistic.,PCP,Pneumocystis Pneumonia
The PCP indicated TMP‑SMX and ground‑glass during evaluation.,PCP,Pneumocystis Pneumonia
Assessment showed HIV; PCP signified presence of opportunistic.,PCP,Pneumocystis Pneumonia
The PCP indicated ground‑glass and HIV during evaluation.,PCP,Pneumocystis Pneumonia
HIV was noted near the PCP context along with opportunistic.,PCP,Pneumocystis Pneumonia
Clinicians discussed HIV and opportunistic when referring to PCP.,PCP,Pneumocystis Pneumonia
Assessment showed opportunistic; PCP signified presence of HIV.,PCP,Pneumocystis Pneumonia
SOB related findings such as tachypnea plus wheezing were documented.,SOB,Shortness of Breath
Assessment showed cyanosis; SOB signified presence of dyspnea.,SOB,Shortness of Breath
tachypnea was noted near the SOB context along with cyanosis.,SOB,Shortness of Breath
SOB related findings such as wheezing plus dyspnea were documented.,SOB,Shortness of Breath
The SOB indicated dyspnea and tachypnea during evaluation.,SOB,Shortness of Breath
Clinicians discussed tachypnea and wheezing when referring to SOB.,SOB,Shortness of Breath
The SOB indicated tachypnea and dyspnea during evaluation.,SOB,Shortness of Breath
Assessment showed tachypnea; SOB signified presence of dyspnea.,SOB,Shortness of Breath
SOB related findings such as dyspnea plus wheezing were documented.,SOB,Shortness of Breath
The SOB indicated cyanosis and tachypnea during evaluation.,SOB,Shortness of Breath
The SOB indicated dyspnea and tachypnea during evaluation.,SOB,Shortness of Breath
Assessment showed cyanosis; SOB signified presence of tachypnea.,SOB,Shortness of Breath
Assessment showed tachypnea; SOB signified presence of cyanosis.,SOB,Shortness of Breath
tachypnea was noted near the SOB context along with dyspnea.,SOB,Shortness of Breath
The SOB indicated tachypnea and wheezing during evaluation.,SOB,Shortness of Breath
The SOB indicated wheezing and dyspnea during evaluation.,SOB,Shortness of Breath
The SOB indicated dyspnea and tachypnea during evaluation.,SOB,Shortness of Breath
Assessment showed dyspnea; SOB signified presence of wheezing.,SOB,Shortness of Breath
tachypnea was noted near the SOB context along with dyspnea.,SOB,Shortness of Breath
Assessment showed cyanosis; SOB signified presence of wheezing.,SOB,Shortness of Breath
The SOB indicated tachypnea and wheezing during evaluation.,SOB,Shortness of Breath
The SOB indicated cyanosis and tachypnea during evaluation.,SOB,Shortness of Breath
SOB related findings such as dyspnea plus cyanosis were documented.,SOB,Shortness of Breath
The SOB indicated tachypnea and cyanosis during evaluation.,SOB,Shortness of Breath
Assessment showed tachypnea; SOB signified presence of cyanosis.,SOB,Shortness of Breath
Clinicians discussed cyanosis and wheezing when referring to SOB.,SOB,Shortness of Breath
Clinicians discussed tachypnea and cyanosis when referring to SOB.,SOB,Shortness of Breath
Clinicians discussed tachypnea and wheezing when referring to SOB.,SOB,Shortness of Breath
tachypnea was noted near the SOB context along with wheezing.,SOB,Shortness of Breath
Clinicians discussed wheezing and cyanosis when referring to SOB.,SOB,Shortness of Breath
Assessment showed cyanosis; SOB signified presence of dyspnea.,SOB,Shortness of Breath
tachypnea was noted near the SOB context along with dyspnea.,SOB,Shortness of Breath
SOB related findings such as tachypnea plus cyanosis were documented.,SOB,Shortness of Breath
The SOB indicated tachypnea and cyanosis during evaluation.,SOB,Shortness of Breath
