plant_id,name,country,city,coordinates,production_capacity_units_per_month,established_year,certifications,employee_count,operational_status,risk_factors,backup_power,automation_level
PLT_9A40440D,Mckay-Mcdaniel Manufacturing Plant,India,Jonesland,"{'latitude': -51.095952, 'longitude': -118.762127}",50212,1995,"['ISO 13485', 'GMP', 'ISO 14001', 'FDA Registration']",1316,Expansion,['Earthquake Zone'],False,High
PLT_8FE5E30C,Reynolds Ltd Manufacturing Plant,Thailand,Lisaside,"{'latitude': 12.878115, 'longitude': -23.687861}",8019,1991,"['FDA Registration', 'ISO 13485', 'ISO 14001']",1527,Expansion,"['Hurricane Zone', 'Political Instability']",False,Medium
PLT_50C9CD06,Willis PLC Manufacturing Plant,Singapore,Elizabethchester,"{'latitude': -48.490089, 'longitude': -38.555203}",73045,2016,"['ISO 13485', 'FDA Registration']",107,Maintenance,[],False,High
PLT_62D12D4E,Russo-Pugh Manufacturing Plant,Indonesia,Parrishton,"{'latitude': 12.025863, 'longitude': -108.117072}",4373,1998,"['GMP', 'ISO 13485']",1069,Active,['Political Instability'],False,Medium
PLT_D9E1EBC4,Burke-Bell Manufacturing Plant,Philippines,East Diane,"{'latitude': -28.199472, 'longitude': 51.071898}",51793,1996,"['ISO 14001', 'FDA Registration', 'ISO 13485']",1012,Active,['Political Instability'],False,Medium
PLT_545DB33B,Boone LLC Manufacturing Plant,Singapore,Dannyview,"{'latitude': 40.44945, 'longitude': 23.128772}",20808,1991,"['GMP', 'ISO 14001']",947,Expansion,[],True,Medium
PLT_2575287C,"Perez, Patterson and Hoffman Manufacturing Plant",United Kingdom,New Sarahview,"{'latitude': -9.764151, 'longitude': 12.785188}",63236,2021,"['ISO 14001', 'FDA Registration']",261,Maintenance,"['Earthquake Zone', 'Hurricane Zone']",True,Low
PLT_7640690C,White Ltd Manufacturing Plant,Netherlands,Sandrastad,"{'latitude': -39.254523, 'longitude': 174.372476}",28772,1997,"['ISO 13485', 'FDA Registration']",260,Expansion,['Flood Zone'],True,High
PLT_B160ACFB,White and Sons Manufacturing Plant,South Korea,Jonestown,"{'latitude': -21.630061, 'longitude': 81.757083}",9783,1990,"['ISO 14001', 'GMP', 'FDA Registration']",1854,Maintenance,"['Political Instability', 'Earthquake Zone']",False,Low
PLT_6D059879,Reese and Sons Manufacturing Plant,Belgium,Barnesmouth,"{'latitude': -42.042922, 'longitude': 23.973814}",77372,1991,"['ISO 13485', 'FDA Registration']",1876,Expansion,['Political Instability'],False,Medium
PLT_830CD89E,Wood Ltd Manufacturing Plant,Indonesia,Kimberlyshire,"{'latitude': -1.729825, 'longitude': 39.226375}",5910,1996,"['ISO 14001', 'ISO 13485', 'FDA Registration']",179,Maintenance,['Flood Zone'],True,High
PLT_8AE2E447,"Miller, Williams and Moore Manufacturing Plant",France,Lake Christophermouth,"{'latitude': 50.500198, 'longitude': 142.93129}",3651,2006,"['GMP', 'FDA Registration', 'ISO 14001']",1857,Expansion,"['Earthquake Zone', 'Political Instability']",True,Medium
PLT_9DAC5552,"Coleman, Lawson and Perry Manufacturing Plant",Israel,Port William,"{'latitude': -6.826726, 'longitude': 117.296399}",36313,2011,"['ISO 13485', 'ISO 14001', 'FDA Registration', 'GMP']",1970,Maintenance,"['Political Instability', 'Hurricane Zone']",False,Low
PLT_44EC9B59,Jordan-Campbell Manufacturing Plant,United Kingdom,Roseport,"{'latitude': 34.978847, 'longitude': -156.377892}",94004,2017,"['FDA Registration', 'GMP', 'ISO 13485']",455,Active,[],True,Low
PLT_6457C5CC,Walker PLC Manufacturing Plant,Germany,North Jamesborough,"{'latitude': -5.22616, 'longitude': 150.491185}",93357,1997,"['GMP', 'FDA Registration', 'ISO 14001']",1401,Active,"['Earthquake Zone', 'Political Instability']",False,Medium
PLT_F61EB03E,Duran LLC Manufacturing Plant,Brazil,Davidfort,"{'latitude': -6.467588, 'longitude': 165.787336}",63204,2022,"['GMP', 'FDA Registration', 'ISO 13485', 'ISO 14001']",1633,Expansion,[],False,Low
PLT_A7E2B395,"Jordan, Anderson and Patel Manufacturing Plant",Ireland,New Angelica,"{'latitude': -54.041875, 'longitude': 127.375678}",29091,1999,"['FDA Registration', 'GMP', 'ISO 13485', 'ISO 14001']",1434,Maintenance,"['Earthquake Zone', 'Hurricane Zone']",True,Medium
PLT_90C67375,"Drake, Jones and Hensley Manufacturing Plant",Vietnam,South Andrewland,"{'latitude': 17.684587, 'longitude': 36.411102}",2109,1999,"['GMP', 'ISO 14001', 'FDA Registration']",967,Maintenance,['Political Instability'],False,Low
PLT_F459CBE4,Johnston-Berry Manufacturing Plant,Netherlands,Robertsfurt,"{'latitude': -23.742589, 'longitude': 7.429643}",82737,2010,"['ISO 13485', 'ISO 14001', 'FDA Registration', 'GMP']",711,Expansion,[],False,Low
PLT_9070E4FF,Burch and Sons Manufacturing Plant,Italy,Collierstad,"{'latitude': 58.603316, 'longitude': 50.614108}",37291,2001,"['GMP', 'ISO 13485', 'ISO 14001', 'FDA Registration']",1942,Active,"['Political Instability', 'Hurricane Zone']",False,High
PLT_8FF6EA6E,Kim Inc Manufacturing Plant,Vietnam,South Brianna,"{'latitude': 26.553984, 'longitude': 55.944205}",39745,2001,"['ISO 14001', 'FDA Registration', 'ISO 13485']",1294,Expansion,"['Flood Zone', 'Political Instability']",True,High
PLT_BA459274,"Miller, Harrell and Reese Manufacturing Plant",Canada,West Kimberly,"{'latitude': 16.597631, 'longitude': -8.735327}",89063,2007,"['GMP', 'ISO 13485', 'ISO 14001', 'FDA Registration']",299,Maintenance,[],False,High
PLT_01933692,Dixon Inc Manufacturing Plant,Canada,Port Michael,"{'latitude': 31.550186, 'longitude': -114.095391}",90091,2006,"['ISO 13485', 'ISO 14001', 'FDA Registration', 'GMP']",1624,Maintenance,['Hurricane Zone'],False,Medium
PLT_7622B8DA,"Mullen, Brewer and Hernandez Manufacturing Plant",Mexico,East Jonathanburgh,"{'latitude': -24.713865, 'longitude': 126.437}",62674,1988,"['ISO 13485', 'FDA Registration', 'ISO 14001', 'GMP']",1876,Expansion,['Hurricane Zone'],False,Low
PLT_BA346B94,"Hernandez, Malone and Jones Manufacturing Plant",Vietnam,Marshallshire,"{'latitude': -43.516169, 'longitude': -107.893227}",54633,2021,"['FDA Registration', 'ISO 14001', 'ISO 13485']",1695,Active,['Hurricane Zone'],True,Medium
PLT_D1E2EC39,"Cole, Glass and Cunningham Manufacturing Plant",Indonesia,Michellemouth,"{'latitude': -53.038369, 'longitude': -17.260838}",28444,1995,"['FDA Registration', 'ISO 14001', 'ISO 13485', 'GMP']",1358,Maintenance,"['Political Instability', 'Flood Zone']",False,Medium
PLT_DE5D80D2,Gonzales Group Manufacturing Plant,Ireland,Welchview,"{'latitude': -59.439703, 'longitude': 12.161737}",96768,2008,"['GMP', 'ISO 14001']",490,Active,"['Earthquake Zone', 'Hurricane Zone']",True,Low
PLT_CB62139A,"Brown, Romero and Collins Manufacturing Plant",Taiwan,Johnsonstad,"{'latitude': 45.238216, 'longitude': -67.646786}",14462,2009,"['GMP', 'ISO 13485', 'ISO 14001', 'FDA Registration']",710,Maintenance,['Hurricane Zone'],False,High
PLT_3C075656,Jones-Lin Manufacturing Plant,Vietnam,New Brookefurt,"{'latitude': -18.872059, 'longitude': 144.498159}",48087,1997,"['ISO 14001', 'ISO 13485']",567,Active,"['Flood Zone', 'Earthquake Zone']",True,High
PLT_C510999B,Carpenter-Best Manufacturing Plant,United Kingdom,South Reginashire,"{'latitude': -39.721831, 'longitude': -48.027077}",86267,1987,"['GMP', 'ISO 14001', 'ISO 13485']",1316,Active,"['Earthquake Zone', 'Hurricane Zone']",True,Low
PLT_6FBCF681,"Lopez, Jacobs and Mason Manufacturing Plant",Taiwan,South Dalemouth,"{'latitude': -46.105221, 'longitude': -20.046856}",17199,2020,"['ISO 14001', 'GMP', 'ISO 13485']",520,Expansion,"['Earthquake Zone', 'Flood Zone']",False,High
PLT_290FE377,"Miller, Lucas and Williams Manufacturing Plant",India,Ritterhaven,"{'latitude': 19.497956, 'longitude': -82.808226}",80381,1993,"['ISO 13485', 'GMP', 'ISO 14001']",678,Active,[],False,Low
PLT_674C96AC,"Bishop, Cox and Hardin Manufacturing Plant",Brazil,Ortizmouth,"{'latitude': -36.030074, 'longitude': -85.32219}",69569,1997,"['ISO 14001', 'FDA Registration', 'ISO 13485']",180,Expansion,['Flood Zone'],False,Medium
PLT_8263BE09,"Harper, Mccormick and Holland Manufacturing Plant",Singapore,West Codyfurt,"{'latitude': -59.67144, 'longitude': 61.787928}",15474,2021,"['ISO 14001', 'ISO 13485', 'GMP', 'FDA Registration']",1581,Expansion,[],False,High
PLT_D5AD262A,King-York Manufacturing Plant,Singapore,West Christopher,"{'latitude': -5.189852, 'longitude': 171.824743}",35619,2014,"['ISO 13485', 'ISO 14001']",1890,Active,['Hurricane Zone'],False,Medium
PLT_B39BCF18,"Thomas, Bailey and Ponce Manufacturing Plant",Israel,Andersonland,"{'latitude': -46.091874, 'longitude': 126.448524}",7014,1985,"['FDA Registration', 'ISO 14001']",832,Maintenance,"['Hurricane Zone', 'Political Instability']",True,Medium
PLT_606BA8A6,Hansen-Schneider Manufacturing Plant,Italy,Lisahaven,"{'latitude': -38.05567, 'longitude': -35.720095}",60839,2002,"['ISO 14001', 'FDA Registration', 'ISO 13485']",331,Active,"['Earthquake Zone', 'Political Instability']",True,Medium
PLT_329FAF7C,Lucas Group Manufacturing Plant,Mexico,Andrewport,"{'latitude': -2.079018, 'longitude': 24.819635}",58430,1996,"['ISO 14001', 'FDA Registration', 'ISO 13485', 'GMP']",1089,Maintenance,[],False,Medium
PLT_CC7CDC5D,Bean LLC Manufacturing Plant,Germany,Leeberg,"{'latitude': -52.399674, 'longitude': 55.790485}",2620,2018,"['FDA Registration', 'GMP', 'ISO 14001', 'ISO 13485']",986,Expansion,"['Flood Zone', 'Political Instability']",False,High
